id_de_pantalla,vendor_site_id,pantalla,Pantalla,Obra civil,Estructura,Medidor CFE,Instalación eléctrica,Sending SD 300,UPS,NUC,Interruptor_termomagnetico_trifasica_3x100 amp,Interruptor_termomagnetico_2x20 amp,Camara_hikvision_modelo_ds_2cd2347g2p_lsu_sl,teltonika_rut_955,Poe_utepo
MX_CM_EV_EVD_01_3133,MX_CM_EV_3133,Av. Nuevo LeÃ³n 272-272,720000,46350,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_01_2094,MX_CM_EV_2094,"AndrÃ©s Bello 218, Polanco V SecciÃ³n, Miguel Hidalgo, 11560, CDMX",720000,65000,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_01_2466,MX_CM_EV_2466,"Calz. de Las Ãguilas 2341, San Clemente, Ãlvaro ObregÃ³n, 01740, CDMX",720000,58400,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_01_2880,MX_CM_EV_2880,Blvd. Adolfo LÃ³pez Mateos 248,720000,46600,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_01_2941,MX_CM_EV_2941,Insurgentes Centro 121,720000,49800,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_01_2958,MX_CM_EV_2958,Reforma 350,720000,48800,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_01_3139,MX_CM_EV_3139,Av. Paseo de La Reforma 202,720000,50500,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_01_3147,MX_CM_EV_3147,Once de Abril 174,720000,77617.21,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_01_3229,MX_CM_EV_3229,Av. Canal De Miramontes 2640,720000,47700,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_01_3261,MX_CM_EV_3261,Insurgentes 363,720000,45200,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_01_3323,MX_CM_EV_3323,Amsterdam 107,720000,72850,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_01_3379,MX_CM_EV_3379,BenjamÃ­n Franklin 246,720000,95800,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_01_3381,MX_CM_EV_3381,Manuel Navarrete 65,720000,46150,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_01_3434,MX_CM_EV_3434,ArquÃ­medes 18,720000,43000,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_01_3490,MX_CM_EV_3490,Paseo de la Reforma 458,720000,48500,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_01_3510,MX_CM_EV_3510,Av. Paseo de la Reforma 146,720000,100857.28,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_01_3519,MX_CM_EV_3519,RevoluciÃ³n 811,720000,44600,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_01_3559,MX_CM_EV_3559,PerifÃ©rico Sur 4290,720000,74850,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_01_3579,MX_CM_EV_3579,Campos ElÃ­seos 290,720000,51000,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_01_3591,MX_CM_EV_3591,ArquÃ­medes 173,720000,42339,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_01_3596,MX_CM_EV_3596,"Av. Insurgentes Sur 324, Roma Norte, CuauhtÃ©moc, 06700, Cdmx.",720000,67800,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_01_3605,MX_CM_EV_3605,"C. CalderÃ³n De La Barca 305, Polanco Miguel Hidalgo, 11550, CDMX.",720000,61200,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_01_3612,MX_CM_EV_3612,"Cal. RÃ­o Consulado 1652, Vallejo, Gustavo A. Madero, 07870, CDMX.",720000,62150,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_01_3626,MX_CM_EV_3626,"Av. JuÃ¡rez 95, Mz 01, Cuartel Sexto, Centro, CuauhtÃ©moc, 06040, CDMX.",720000,65700,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_01_3638,MX_CM_EV_3638,"Rupias 1, SimÃ³n BolÃ­var, Venustiano Carranza, 15410, CDMX",720000,70890,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_01_3643,MX_CM_EV_3643,"Av. RÃ­o Consulado 649, Atlampa, CuauhtÃ©moc, 06450, CDMX",720000,55400,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_02_2094,MX_CM_EV_2094,"AndrÃ©s Bello 218, Polanco V SecciÃ³n, Miguel Hidalgo, 11560, CDMX",720000,65000,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_02_3139,MX_CM_EV_3139,Av. Paseo de La Reforma 202,720000,50500,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_02_3192,MX_CM_EV_3192,Tlalpan Lotes 1 y 3,720000,40600,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_02_3200,MX_CM_EV_3200,Hamburgo 49,720000,77025.85,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_02_3236,MX_CM_EV_3236,Miguel de Cervantes Saavedra 565,720000,56000,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_02_3394,MX_CM_EV_3394,Jacarandas 90,720000,66800,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
MX_CM_EV_MGP_02_3601,MX_CM_EV_3601,"Viaducto De Tlalpan 5357, La Joya, Tlalpan, 14090, Cdmx",720000,49800,121000,38000,40000,3000,5200,12000,3577.2,1600,6000,12500,1100
