ID de pantalla,Orientacion,Nuc nuevo / segunda mano,Fecha renovación tecnológica pantalla,Numero de gabinetes,Medida de pantalla en m2,Pantalla,Renovación tecnólogica pantalla,Estructura,Modificación estructura,Medidor CFE,Instalación eléctrica,Sending SD 300,UPS CyberPower de 1000VA, Nuc,Interruptor termomagnético trifásica 3X100Amp,Interrruptor termomagnética 2X20Amp ,Cámara ,Teltonika Rut 955,Poe Utepo
MX_CM_VV_COL_414,Norte,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_414,Sur,Segunda Mano,46136,16,14.74,320000,240000,200000,3000,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_419,Norte,Nuevo,,16,14.74,320000,,200000,0,19000,20000,1500,2600,7500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_419,Sur,Nuevo,46136,16,14.74,320000,240000,200000,3000,19000,20000,1500,2600,7500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_440,Norte,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_440,Sur,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_444,Norte,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_444,Sur,Segunda Mano,,24,22.11,480000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_448,Norte,Nuevo,,10,9.21,200000,,200000,0,19000,20000,1500,2600,7500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_448,Sur,Nuevo,,16,14.74,320000,,200000,0,19000,20000,1500,2600,7500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_459,Norte,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_459,Sur,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_465,Norte,Segunda Mano,,20,18.43,400000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_465,Sur,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_478,Norte,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_478,Sur,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_491,Norte,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_491,Sur,Segunda Mano,46140,16,14.74,320000,240000,200000,3000,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_505,Norte,Segunda Mano,,12,11.05,240000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_505,Sur,Segunda Mano,46140,12,11.05,240000,180000,200000,3000,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_509,Norte,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_509,Sur,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_519,Norte,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_519,Sur,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_529,Norte,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_529,Sur,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_542,Norte,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_542,Sur,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_551,Norte,Nuevo,,16,14.74,320000,,200000,0,19000,20000,1500,2600,7500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_551,Sur,Nuevo,46140,16,14.74,320000,240000,200000,3000,19000,20000,1500,2600,7500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_571,Norte,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_571,Sur,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_576,Norte,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_576,Sur,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_588,Norte,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_588,Sur,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_594,Norte,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_594,Sur,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_606,Norte,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_606,Sur,Segunda Mano,46142,16,14.74,320000,240000,200000,3000,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_620,Norte,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_620,Sur,Segunda Mano,46142,16,14.74,320000,240000,200000,3000,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_628,Norte,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_628,Sur,Segunda Mano,46142,16,14.74,320000,240000,200000,3000,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_639,Norte,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_639,Sur,Segunda Mano,46146,16,14.74,320000,240000,200000,3000,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_641,Norte,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_641,Sur,Segunda Mano,46146,16,14.74,320000,240000,200000,3000,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_651,Norte,Segunda Mano,46122,16,14.74,320000,240000,200000,3000,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_651,Sur,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_656,Norte,Segunda Mano,,12,11.05,240000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_656,Sur,Segunda Mano,,12,11.05,240000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_661,Norte,Segunda Mano,46122,16,14.74,320000,240000,200000,3000,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_661,Sur,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_665,Norte,Nuevo,,16,14.74,320000,,200000,0,19000,20000,1500,2600,7500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_665,Sur,Nuevo,46146,16,14.74,320000,240000,200000,3000,19000,20000,1500,2600,7500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_669,Norte,Segunda Mano,46126,16,14.74,320000,240000,200000,3000,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
MX_CM_VV_COL_669,Sur,Segunda Mano,,16,14.74,320000,,200000,0,19000,20000,1500,2600,6500,1788.6,800,6000,6250,1100
