ID de pantalla,Pantalla,Actividad,Fecha,Número de técnicos,Número de horas hombre técnicos,Costo hora hombre técnicos,Costos nómina Operación Digital en Campo,Número de agentes de soporte remoto digital,Número de horas hombre agentes,Costo hora hombre soporte remoto digital,Costo nómina Soporte Remoto Digital,Número de programadores,Número de pautas,Costo horas hombre programadores,Costo nómina Programación de Pauta Digital,Litros,Días,Costo  lt gasolina,Costos gasolina,Numero de vehículos,Horas transporte,Costo hora transporte ,Costos transporte,Tipo de insumo,Costos insumos,Tipo de refacción,Costos refacciones,Total,Mes
MX_CM_EV_MGP_08_2740,Tecamachalco 5,Mantenimiento preventivo estético,46028,3,4,70.7,848.4,1,1,106.05,106.05,0,0,0,0,5,1,23.99,119.95,1,4,117.935,471.74,"Cepillo, agua y  limpiador Nala",60,,0,1606.14,Enero
MX_CM_EV_MGP_08_2740,Tecamachalco 5,Pauta,01/01/2026 - 31/01/2026,0,0,0,0,0,0,0,0,1,3,129.6166667,388.85,0,0,0,0,0,0,0,0,,0,,0,388.85,Enero
MX_CM_EV_MGP_01_3579,Campos Elíseos 290,Mantenimiento preventivo estético,46028,3,4,70.7,848.4,1,1,106.05,106.05,0,0,0,0,10,1,23.99,239.9,1,4,117.935,471.74,"Cepillo, agua y  limpiador Nala",60,,0,1726.09,Enero
MX_CM_EV_MGP_01_3579,Campos Elíseos 290,Pauta,01/01/2026 - 31/01/2026,0,0,0,0,0,0,0,0,1,13,129.6166667,1685.016667,0,0,0,0,0,0,0,0,,0,,0,1685.016667,Enero
MX_CM_EV_MGP_04_3233,Constituyentes 107,Pantalla en negro,46032,3,1,70.7,212.1,1,1,106.05,106.05,0,0,0,0,15,1,23.99,359.85,1,1,117.935,117.935,Franela y limpiador Nala ,40,,0,835.935,Enero
MX_CM_EV_MGP_04_3233,Constituyentes 107,Graffiti,46030,1,2,70.7,141.4,1,1,106.05,106.05,0,0,0,0,2,1,23.99,47.98,1,2,4.055555556,8.111111111,Franela y limpiador Nala ,80,,0,383.5411111,Enero
MX_CM_EV_MGP_04_3233,Constituyentes 107,Pauta,01/01/2026 - 31/01/2026,0,0,0,0,0,0,0,0,1,3,129.6166667,388.85,0,0,0,0,0,0,0,0,,0,,0,388.85,Enero
MX_CM_EV_MGP_01_2958,Reforma 350,Mantenimiento preventivo estético,46030,3,4,70.7,848.4,1,1,106.05,106.05,0,0,0,0,10,1,23.99,239.9,1,4,117.935,471.74,"Cepillo, agua y  limpiador Nala",60,,0,1726.09,Enero
MX_CM_EV_MGP_01_2958,Reforma 350,Pauta,01/01/2026 - 31/01/2026,0,0,0,0,0,0,0,0,1,4,129.6166667,518.4666667,0,0,0,0,0,0,0,0,,0,,0,518.4666667,Enero
MX_CM_EV_MGP_01_2094,Andrés Bello (Hotel Presidente Campos Elíseos) 218 ,Mantenimiento preventivo estético,46028,3,4,70.7,848.4,1,1,106.05,106.05,0,0,0,0,10,1,23.99,239.9,1,4,117.935,471.74,"Cepillo, agua y  limpiador Nala",180,,0,1846.09,Enero
MX_CM_EV_MGP_01_2094,Andrés Bello (Hotel Presidente Campos Elíseos) 218 ,Pauta,01/01/2026 - 31/01/2026,0,0,0,0,0,0,0,0,1,2,129.6166667,259.2333333,0,0,0,0,0,0,0,0,,0,,0,259.2333333,Enero
MX_CM_EV_MGP_01_3434,Arquímedes 18,Falla de módem,46026,3,1,70.7,212.1,1,2,106.05,212.1,0,0,0,0,10,1,23.99,239.9,1,1,117.935,117.935,Franela y limpiador Nala ,20,,0,802.035,Enero
MX_CM_EV_MGP_01_3434,Arquímedes 18,Pauta,01/01/2026 - 31/01/2026,0,0,0,0,0,0,0,0,1,15,129.6166667,1944.25,0,0,0,0,0,0,0,0,,0,,0,1944.25,Enero
MX_CM_EV_MGP_01_3591,Calle Arquímedes 173,Módulo dañado,46031,3,2,70.7,424.2,1,1,106.05,106.05,0,0,0,0,10,1,23.99,239.9,1,2,117.935,235.87,Franela y limpiador Nala ,40,Módulo de led,3000,4046.02,Enero
MX_CM_EV_MGP_01_3591,Calle Arquímedes 173,Pauta,01/01/2026 - 31/01/2026,0,0,0,0,0,0,0,0,1,2,129.6166667,259.2333333,0,0,0,0,0,0,0,0,,0,,0,259.2333333,Enero
MX_CM_EV_MGP_05_3548,Horacio 1019,Mantenimiento preventivo estético,46028,3,4,70.7,848.4,1,1,106.05,106.05,0,0,0,0,10,1,23.99,239.9,1,4,117.935,471.74,"Cepillo, agua y  limpiador Nala",60,,0,1726.09,Enero
MX_CM_EV_MGP_05_3548,Horacio 1019,Pauta,01/01/2026 - 31/01/2026,0,0,0,0,0,0,0,0,1,6,129.6166667,777.7,0,0,0,0,0,0,0,0,,0,,0,777.7,Enero
MX_CM_EV_MGP_01_3605,Av. Homero 1027,Mantenimiento preventivo estético,46028,3,4,70.7,848.4,1,1,106.05,106.05,0,0,0,0,10,1,23.99,239.9,1,4,117.935,471.74,"Cepillo, agua y  limpiador Nala",60,,0,1726.09,Enero
MX_CM_EV_MGP_01_3605,Av. Homero 1027,Pauta,01/01/2026 - 31/01/2026,0,0,0,0,0,0,0,0,1,9,129.6166667,1166.55,0,0,0,0,0,0,0,0,,0,,0,1166.55,Enero
MX_CM_EV_MGP_07_2920,Av. Río San Joaquín 434,Pantalla en negro,46029,3,1,70.7,212.1,1,1,106.05,106.05,0,0,0,0,10,1,23.99,239.9,1,1,117.935,117.935,Franela y limpiador Nala ,20,,0,695.985,Enero
MX_CM_EV_MGP_07_2920,Av. Río San Joaquín 434,Pauta,01/01/2026 - 31/01/2026,0,0,0,0,0,0,0,0,1,4,129.6166667,518.4666667,0,0,0,0,0,0,0,0,,0,,0,518.4666667,Enero
MX_CM_EV_MGP_07_3492,Viaducto 18 de julio 85 patriotismo,Falla en tarjeta receptora,46051,3,2,70.7,424.2,1,1,106.05,106.05,0,0,0,0,10,1,23.99,239.9,1,2,117.935,235.87,Franela y limpiador Nala ,40,,0,1046.02,Enero
MX_CM_EV_MGP_07_3492,Viaducto 18 de julio 85 patriotismo,Daño en adicional,46045,3,2,70.7,424.2,1,1,106.05,106.05,0,0,0,0,10,1,23.99,239.9,1,2,117.935,235.87,Franela y limpiador Nala ,40,M2 adicional,1600,2646.02,Enero
MX_CM_EV_MGP_07_3492,Viaducto 18 de julio 85 patriotismo,Pauta,01/01/2026 - 31/01/2026,0,0,0,0,0,0,0,0,1,6,129.6166667,777.7,0,0,0,0,0,0,0,0,,0,,0,777.7,Enero
MX_CM_EV_MGP_01_3147,Once De Abril 174,Falla del servicio de internet,46044,3,2,70.7,424.2,1,2,106.05,212.1,0,0,0,0,10,1,23.99,239.9,1,2,117.935,235.87,Franela y limpiador Nala ,20,,0,1132.07,Enero
MX_CM_EV_MGP_01_3147,Once De Abril 174,Falla en nuc,46031,3,2,70.7,424.2,1,2,106.05,212.1,0,0,0,0,10,1,23.99,239.9,1,2,117.935,235.87,Franela y limpiador Nala ,20,,0,1132.07,Enero
MX_CM_EV_MGP_01_3147,Once De Abril 174,Pauta,01/01/2026 - 31/01/2026,0,0,0,0,0,0,0,0,1,6,129.6166667,777.7,0,0,0,0,0,0,0,0,,0,,0,777.7,Enero
