ID de pantalla,Actividad,Fecha,Pantalla,Obra civil,Estructura,Número de técnicos,Número de horas hombre técnicos,Costo hora hombre técnicos,Costos nómina Operación Digital en Campo,Número de agentes de soporte remoto digital,Número de horas hombre agentes,Costo hora hombre soporte remoto digital,Costo nómina Soporte Remoto Digital,Número de programadores,Número de pautas,Costo horas hombre programadores,Costo nómina Programación de Pauta Digital,Litros,Días,Costo  lt gasolina,Costos gasolina,Numero de vehículos,Horas transporte,Costo hora transporte ,Costos transporte,Tipo de insumo,Costos insumos,Tipo de refacción,Costos refacciones,Total,Mes
MX_CM_VV_COL_414,Pauta,01/01/2026 - 31/01/2026,0,0,0,0,0,71.7,0,0,0,106.05,0,1,36,129.6166667,4666.2,0,0,23.99,0,0,0,117.935,0,NA,0,NA,0,#¡REF!,Enero
MX_CM_VV_COL_419,Pauta,01/01/2026 - 31/01/2026,0,0,0,0,0,72.7,0,0,0,106.05,0,1,32,129.6166667,4147.733333,0,0,23.99,0,0,0,117.935,0,NA,0,NA,0,4666.2,Enero
MX_CM_VV_COL_440,Pauta,01/01/2026 - 31/01/2026,0,0,0,0,0,73.7,0,0,0,106.05,0,1,35,129.6166667,4536.583333,0,0,23.99,0,0,0,117.935,0,NA,0,NA,0,4536.583333,Enero
MX_CM_VV_COL_444,Pauta,01/01/2026 - 31/01/2026,0,0,0,0,0,74.7,0,0,0,106.05,0,1,28,129.6166667,3629.266667,0,0,23.99,0,0,0,117.935,0,NA,0,NA,0,3629.266667,Enero
MX_CM_VV_COL_448,Pauta,01/01/2026 - 31/01/2026,0,0,0,0,0,75.7,0,0,0,106.05,0,1,34,129.6166667,4406.966667,0,0,23.99,0,0,0,117.935,0,NA,0,NA,0,4406.966667,Enero
MX_CM_VV_COL_459,Pauta,01/01/2026 - 31/01/2026,0,0,0,0,0,76.7,0,0,0,106.05,0,1,33,129.6166667,4277.35,0,0,23.99,0,0,0,117.935,0,NA,0,NA,0,4277.35,Enero
MX_CM_VV_COL_465,"Falla de Tarjeta (Receptora, SD300, etc.)",46024.88222,0,0,0,3,1,70.7,212.1,1,2,106.05,212.1,0,0,129.6166667,0,12,1,23.99,287.88,1,1,117.935,117.935,NA,0,NA,0,830.015,Enero
MX_CM_VV_COL_465,Falla de NUC (Apagado / Congelado / Reinicios),46025.86591,0,0,0,3,1,70.7,212.1,1,1,106.05,106.05,0,0,129.6166667,0,12,1,23.99,287.88,1,1,117.935,117.935,NA,0,NA,0,723.965,Enero
MX_CM_VV_COL_465,Pauta,01/01/2026 - 31/01/2026,0,0,0,0,0,77.7,0,0,0,106.05,0,1,34,129.6166667,4406.966667,0,0,23.99,0,0,0,117.935,0,NA,0,NA,0,4406.966667,Enero
MX_CM_VV_COL_478,Falla de NUC (Apagado / Congelado / Reinicios),46049.52179,0,0,0,3,2,70.7,424.2,1,2,106.05,212.1,0,0,129.6166667,0,12,1,23.99,287.88,1,1.5,117.935,176.9025,NA,0,NA,0,1101.0825,Enero
MX_CM_VV_COL_478,Pauta,01/01/2026 - 31/01/2026,0,0,0,0,0,78.7,0,0,0,106.05,0,1,32,129.6166667,4147.733333,0,0,23.99,0,0,0,117.935,0,NA,0,NA,0,4147.733333,Enero
MX_CM_VV_COL_491,Falla de Conectividad (Internet / Offline),46049.73728,0,0,0,3,2,70.7,424.2,1,1,106.05,106.05,0,0,129.6166667,0,12,1,23.99,287.88,1,1.5,117.935,176.9025,NA,0,NA,0,995.0325,Enero
MX_CM_VV_COL_491,Pauta,01/01/2026 - 31/01/2026,0,0,0,0,0,79.7,0,0,0,106.05,0,1,36,129.6166667,4666.2,0,0,23.99,0,0,0,117.935,0,NA,0,NA,0,4666.2,Enero
MX_CM_VV_COL_505,Falla de Conectividad (Internet / Offline),46023.46155,0,0,0,3,1.5,70.7,318.15,1,1.5,106.05,159.075,0,0,129.6166667,0,10,1,23.99,239.9,1,1.5,117.935,176.9025,NA,0,NA,0,894.0275,Enero
MX_CM_VV_COL_505,Falla de Conectividad (Internet / Offline),46024.17098,0,0,0,3,1,70.7,212.1,1,1.5,106.05,159.075,0,0,129.6166667,0,10,1,23.99,239.9,1,1.5,117.935,176.9025,NA,0,NA,0,787.9775,Enero
